0	流量	1570
1	中国移动	1241
2	2017	1148
3	10086	782
4	使用	752
5	MB	735
6	05	699
7	10010	593
8	剩余	583
9	时	537
10	查询	518
11	已	507
12	04	439
13	10	437
14	中国联通	430
15	回复	389
16	分	385
17	03	366
18	省内	361
19	国内	361
20	06	318
21	http	313
22	尊敬	308
23	套餐	291
24	移动	288
25	cn	279
26	09	257
27	手机	256
28	点击	247
29	服务	236
30	12	230
31	08	220
32	话费	218
33	客户	217
34	营业厅	209
35	办理	205
36	截止	204
37	缴费	197
38	温馨提示	193
39	登录	191
40	充值	186
41	11	185
42	本月	182
43	13	182
44	20	177
45	07	174
46	30	173
47	含	172
48	当月	169
49	M	167
50	15	166
51	流量包	165
52	业务	164
53	14	164
54	下载	163
55	28	161
56	24	160
57	用户	157
58	优惠	154
59	16	152
60	成功	151
61	数据	148
62	com	148
63	0.00	148
64	详情	142
65	17	142
66	22	141
67	进入	140
68	累计	140
69	分钟	139
70	19	137
71	微信	136
72	关注	135
73	年	131
74	21	131
75	23	130
76	号	129
77	包	129
78	02	126
79	及时	123
80	超出	122
81	公众	122
82	18	118
83	享受	117
84	wap	117
85	31	117
86	缴纳	116
87	上网	115
88	免费	113
89	交费	112
90	短信	111
91	01	111
92	订购	109
93	提醒	108
94	资费	105
95	1G	104
96	本地	103
97	27	103
98	29	102
99	通话	99
100	港澳台	97
101	密码	95
102	26	95
103	25	95
104	余额	92
105	4G	91
106	随时随地	88
107	00	87
108	消费	86
109	联通	85
110	提供	84
111	停机	83
112	费用	82
113	账户	81
114	拨打	81
115	情况	81
116	dx	81
117	夜间	77
118	50	76
119	额度	75
120	秒	74
121	活动	73
122	外	71
123	可用	70
124	建议您	69
125	话费余额	68
126	有效	67
127	www	67
128	透支	66
129	标准	66
130	客户端	65
131	即可	65
132	话费提醒	63
133	收取	63
134	影响	61
135	通信	59
136	使用费	58
137	领取	57
138	欠费	57
139	当日	56
140	35	56
141	完	54
142	验证码	53
143	开通	52
144	共计	52
145	流量提醒	51
146	后	51
147	6.88	51
148	已消费	50
149	1008611	50
150	安全	49
151	41	49
152	34	49
153	51	48
154	46	48
155	账户余额	47
156	语音	47
157	星级	47
158	时间	47
159	如需	47
160	40	47
161	32	47
162	包含	46
163	主叫	46
164	赠送	45
165	账单	45
166	生效	45
167	已用	45
168	666	45
169	58	45
170	33	45
171	随机码	44
172	调整	44
173	GB	44
174	54	44
175	频次	43
176	话费流量提醒	43
177	网上	43
178	小时	43
179	48	43
180	1GB	43
181	59	42
182	52	42
183	45	42
184	积分	41
185	加油	41
186	56	41
187	37	41
188	中国电信	40
189	10.00	40
190	金额	39
191	欢迎您	39
192	时长	39
193	57	39
194	44	39
195	39	39
196	0.0	39
197	正常	38
198	地址	38
199	53	38
200	500M	38
201	49	38
202	送	37
203	当前	37
204	取消	37
205	了解	37
206	1024.00	37
207	查	36
208	体验	36
209	支付	35
210	推荐	35
211	帐户	35
212	半年	35
213	为准	35
214	APP	35
215	47	35
216	36	35
217	畅通	34
218	满意	34
219	咨询	34
220	全国	34
221	自动	33
222	立即	33
223	现	33
224	每月	33
225	方式	33
226	已欠费	33
227	发送	33
228	55	33
229	首次	32
230	轻松	32
231	登陆	32
232	可用余额	32
233	https	32
234	700.00	32
235	43	32
236	38	32
237	剩	31
238	辽宁	30
239	结转	30
240	生活	30
241	查话费	30
242	具体	30
243	便捷	30
244	10001	30
245	结账	29
246	期待	29
247	号码	29
248	参与	29
249	仅供参考	29
250	app	29
251	G	29
252	42	29
253	3786.28	29
254	100M	29
255	电话	28
256	方便	28
257	修改	28
258	100	28
259	返还	27
260	直接	27
261	官方	27
262	安心	27
263	邮箱	26
264	避免	26
265	详情请	26
266	泄露	26
267	欢迎	26
268	即日起	26
269	查看	25
270	有效期	25
271	宽带	25
272	功能	25
273	交	25
274	中	25
275	qAa4V	25
276	309.72	25
277	1738.28	25
278	疑问请	24
279	点	24
280	日前	24
281	感谢您	24
282	忽略	24
283	信息	24
284	专区	24
285	下	24
286	10655888	24
287	0MB	24
288	通用	23
289	选择	23
290	退订	23
291	获得	23
292	网络	23
293	目前	23
294	次	23
295	本次	23
296	不足	23
297	上当受骗	23
298	600.00	23
299	189	23
300	获赠	22
301	折	22
302	以防	22
303	1.000	22
304	爱	21
305	浙江	21
306	快捷	21
307	告知	21
308	html	21
309	超值	20
310	获取	20
311	索取	20
312	注意	20
313	成员	20
314	咪咕	20
315	升级	20
316	公司	20
317	89.63	20
318	2GB	20
319	达到	19
320	评价	19
321	操作	19
322	手机号码	19
323	宣	19
324	国家	19
325	到期	19
326	享	19
327	三星级	19
328	2G	19
329	106589996700	19
330	领	18
331	需	18
332	进行	18
333	详询	18
334	腾讯	18
335	翼	18
336	客服	18
337	999.35	18
338	0.29	18
339	限制	17
340	贵州	17
341	账	17
342	请拨	17
343	简单	17
344	石榴	17
345	满就送	17
346	实时	17
347	内容	17
348	全球通	17
349	假日	17
350	300M	17
351	106589996400	17
352	飞享	16
353	省	16
354	爱看	16
355	沃	16
356	查收	16
357	月费	16
358	快速	16
359	如非	16
360	失效	16
361	回	16
362	可回复	16
363	前	16
364	充话费	16
365	充值卡	16
366	一起	16
367	3G	16
368	长	15
369	链接	15
370	达	15
371	网	15
372	现在	15
373	特惠	15
374	机	15
375	提示	15
376	完毕	15
377	余量	15
378	亲情	15
379	产生	15
380	验证	14
381	精彩	14
382	端午	14
383	王卡	14
384	温馨提醒	14
385	授权	14
386	愉快	14
387	彩信	14
388	开机	14
389	四川	14
390	发起	14
391	信号	14
392	专属	14
393	不便	14
394	QXYYTX	14
395	500.00	14
396	随时	13
397	退出	13
398	祝您	13
399	手指	13
400	微	13
401	带来	13
402	吉林	13
403	叠加	13
404	匠心	13
405	包月	13
406	划	13
407	产品	13
408	交纳	13
409	4gplay	13
410	200M	13
411	20.00	13
412	100.00	13
413	﻿	12
414	集团	12
415	贴心	12
416	聚汇	12
417	电子	12
418	电信	12
419	理会	12
420	泄漏	12
421	查费	12
422	有限	12
423	无需	12
424	总计	12
425	平台	12
426	变更	12
427	卡	12
428	办	12
429	WLAN	12
430	80	12
431	4G飞享套餐	12
432	139	12
433	1000.00	12
434	预存	11
435	项	11
436	阅读	11
437	闲时	11
438	量	11
439	自助	11
440	类	11
441	申请	11
442	添加	11
443	每天	11
444	月末	11
445	日包	11
446	数量	11
447	敬请	11
448	接听	11
449	总量	11
450	序号	11
451	山西	11
452	实惠	11
453	只	11
454	加赠	11
455	兑换	11
456	保障	11
457	保证	11
458	sdtxcz	11
459	50.00	11
460	3072.00	11
461	10658368	11
462	赢	10
463	节省	10
464	狂欢	10
465	每周三	10
466	条	10
467	戳	10
468	总流量	10
469	已经	10
470	天	10
471	参加	10
472	再	10
473	关闭	10
474	共享	10
475	以上	10
476	人	10
477	不够	10
478	上限	10
479	xjfw01	10
480	QXED	10
481	CXLL	10
482	CMCC	10
483	351	10
484	10658888	10
485	10655516	10
486	限时	9
487	赠费	9
488	费	9
489	编辑	9
490	继续	9
491	签到	9
492	甘肃	9
493	现已	9
494	状态	9
495	普通	9
496	时至	9
497	日至	9
498	接收	9
499	掌厅	9
500	掌上	9
501	抢	9
502	广东	9
503	山西省	9
504	太	9
505	天翼	9
506	合约	9
507	号键	9
508	发短信	9
509	包啦	9
510	减灾	9
511	元及	9
512	保护	9
513	优惠活动	9
514	仅限	9
515	亲	9
516	专有	9
517	wapsc	9
518	sx	9
519	jeqEVr	9
520	5GB	9
521	200.00	9
522	11888	9
523	102	9
524	0.06	9
525	麻烦	8
526	长春	8
527	重置	8
528	超过	8
529	视频	8
530	观看	8
531	营销	8
532	网厅	8
533	网上商城	8
534	红包	8
535	类型	8
536	福利	8
537	知情	8
538	正在	8
539	机会	8
540	最高	8
541	数	8
542	收到	8
543	接听电话	8
544	抵扣	8
545	打开	8
546	帮助	8
547	尽享	8
548	小	8
549	填写	8
550	呼	8
551	单边	8
552	信用	8
553	交易	8
554	VIP	8
555	88	8
556	517	8
557	500.0	8
558	408	8
559	200	8
560	116114	8
561	106589996300	8
562	黑龙江省	7
563	高额	7
564	重新	7
565	过期	7
566	订制	7
567	规则	7
568	缴费提醒	7
569	短	7
570	畅享	7
571	港澳台地区	7
572	欢享	7
573	来到	7
574	期间	7
575	月话费	7
576	月底	7
577	明细	7
578	新	7
579	放心使用	7
580	收费	7
581	提醒您	7
582	报等	7
583	恭喜	7
584	小于	7
585	实际	7
586	妥善	7
587	商旅	7
588	周末	7
589	发现	7
590	原价	7
591	即享	7
592	全民	7
593	充	7
594	以下	7
595	今天	7
596	云南省	7
597	专网	7
598	不可	7
599	wo	7
600	khddx	7
601	jl	7
602	CZ	7
603	8G	7
604	58.00	7
605	50M	7
606	5033	7
607	4103	7
608	40GB	7
609	1110	7
610	1010	7
611	10086APP	7
612	额外	6
613	陕西	6
614	限	6
615	银行卡	6
616	邮件	6
617	超级	6
618	账号	6
619	说	6
620	网络安全	6
621	管理局	6
622	社会	6
623	特权	6
624	渠道	6
625	沟通	6
626	此类	6
627	栏目	6
628	本卡	6
629	未	6
630	期	6
631	最低	6
632	无法	6
633	新版	6
634	放心	6
635	支持	6
636	提高	6
637	推出	6
